signal_date,strategy,ticker,signal
2026-05-08,swing,AALI.JK,PRE_MARKUP
2026-05-08,swing,AKRA.JK,PRE_MARKUP
2026-05-08,swing,ALDO.JK,PRE_MARKUP
2026-05-08,swing,AMAG.JK,PRE_MARKUP
2026-05-08,swing,APIC.JK,PRE_MARKUP
2026-05-08,swing,APII.JK,PRE_MARKUP
2026-05-08,swing,ARGO.JK,PRE_MARKUP
2026-05-08,swing,ASGR.JK,PRE_MARKUP
2026-05-08,swing,AUTO.JK,PRE_MARKUP
2026-05-08,swing,BBTN.JK,PRE_MARKUP
2026-05-08,swing,BCIP.JK,PRE_MARKUP
2026-05-08,swing,BDMN.JK,PRE_MARKUP
2026-05-08,swing,BJBR.JK,PRE_MARKUP
2026-05-08,swing,BJTM.JK,PRE_MARKUP
2026-05-08,swing,BNGA.JK,PRE_MARKUP
2026-05-08,swing,BRAM.JK,PRE_MARKUP
2026-05-08,swing,BSSR.JK,PRE_MARKUP
2026-05-08,swing,CEKA.JK,PRE_MARKUP
2026-05-08,swing,CFIN.JK,PRE_MARKUP
2026-05-08,swing,CLPI.JK,PRE_MARKUP
2026-05-08,swing,DART.JK,PRE_MARKUP
2026-05-08,swing,DEFI.JK,PRE_MARKUP
2026-05-08,swing,DKFT.JK,PRE_MARKUP
2026-05-08,swing,DMAS.JK,PRE_MARKUP
2026-05-08,swing,DSFI.JK,PRE_MARKUP
2026-05-08,swing,DUTI.JK,PRE_MARKUP
2026-05-08,swing,EPMT.JK,PRE_MARKUP
2026-05-08,swing,EXCL.JK,PRE_MARKUP
2026-05-08,swing,GJTL.JK,PRE_MARKUP
2026-05-08,swing,GSMF.JK,PRE_MARKUP
2026-05-08,swing,HERO.JK,PRE_MARKUP
2026-05-08,swing,ICON.JK,PRE_MARKUP
2026-05-08,swing,IMJS.JK,PRE_MARKUP
2026-05-08,swing,IMPC.JK,PRE_MARKUP
2026-05-08,swing,INDF.JK,PRE_MARKUP
2026-05-08,swing,INDY.JK,PRE_MARKUP
2026-05-08,swing,IPOL.JK,PRE_MARKUP
2026-05-08,swing,JAWA.JK,PRE_MARKUP
2026-05-08,swing,JKON.JK,PRE_MARKUP
2026-05-08,swing,JPFA.JK,PRE_MARKUP
2026-05-08,swing,KOBX.JK,PRE_MARKUP
2026-05-08,swing,LPIN.JK,PRE_MARKUP
2026-05-08,swing,MDIA.JK,PRE_MARKUP
2026-05-08,swing,MERK.JK,PRE_MARKUP
2026-05-08,swing,MIDI.JK,PRE_MARKUP
2026-05-08,swing,MLBI.JK,PRE_MARKUP
2026-05-08,swing,NIRO.JK,PRE_MARKUP
2026-05-08,swing,PADI.JK,PRE_MARKUP
2026-05-08,swing,PKPK.JK,PRE_MARKUP
2026-05-08,swing,RBMS.JK,PRE_MARKUP
2026-05-08,swing,RICY.JK,PRE_MARKUP
2026-05-08,swing,SDRA.JK,PRE_MARKUP
2026-05-08,swing,SMAR.JK,PRE_MARKUP
2026-05-08,swing,SMSM.JK,PRE_MARKUP
2026-05-08,swing,TALF.JK,PRE_MARKUP
2026-05-08,swing,TBMS.JK,PRE_MARKUP
2026-05-08,swing,TINS.JK,PRE_MARKUP
2026-05-08,swing,TOTL.JK,PRE_MARKUP
2026-05-08,swing,ULTJ.JK,PRE_MARKUP
2026-05-08,swing,UNIC.JK,PRE_MARKUP
2026-05-08,swing,JGLE.JK,PRE_MARKUP
2026-05-08,swing,OASA.JK,PRE_MARKUP
2026-05-08,swing,POWR.JK,PRE_MARKUP
2026-05-08,swing,PRDA.JK,PRE_MARKUP
2026-05-08,swing,MARK.JK,PRE_MARKUP
2026-05-08,swing,PBID.JK,PRE_MARKUP
2026-05-08,swing,GHON.JK,PRE_MARKUP
2026-05-08,swing,DFAM.JK,PRE_MARKUP
2026-05-08,swing,TCPI.JK,PRE_MARKUP
2026-05-08,swing,BPTR.JK,PRE_MARKUP
2026-05-08,swing,MOLI.JK,PRE_MARKUP
2026-05-08,swing,PANI.JK,PRE_MARKUP
2026-05-08,swing,SOSS.JK,PRE_MARKUP
2026-05-08,swing,DIVA.JK,PRE_MARKUP
2026-05-08,swing,JAYA.JK,PRE_MARKUP
2026-05-08,swing,SFAN.JK,PRE_MARKUP
2026-05-08,swing,EAST.JK,PRE_MARKUP
2026-05-08,swing,OPMS.JK,PRE_MARKUP
2026-05-08,swing,SLIS.JK,PRE_MARKUP
2026-05-08,swing,TAMA.JK,PRE_MARKUP
2026-05-08,swing,KBAG.JK,PRE_MARKUP
2026-05-08,swing,CSMI.JK,PRE_MARKUP
2026-05-08,swing,EPAC.JK,PRE_MARKUP
2026-05-08,swing,ROCK.JK,PRE_MARKUP
2026-05-08,swing,ENZO.JK,PRE_MARKUP
2026-05-08,swing,BANK.JK,PRE_MARKUP
2026-05-08,swing,TAPG.JK,PRE_MARKUP
2026-05-08,swing,NPGF.JK,PRE_MARKUP
2026-05-08,swing,FLMC.JK,PRE_MARKUP
2026-05-08,swing,RSGK.JK,PRE_MARKUP
2026-05-08,swing,CMNT.JK,PRE_MARKUP
2026-05-08,swing,BOBA.JK,PRE_MARKUP
2026-05-08,swing,DEPO.JK,PRE_MARKUP
2026-05-08,swing,DRMA.JK,PRE_MARKUP
2026-05-08,swing,NTBK.JK,PRE_MARKUP
2026-05-08,swing,ASHA.JK,PRE_MARKUP
2026-05-08,swing,DEWI.JK,PRE_MARKUP
2026-05-08,swing,KRYA.JK,PRE_MARKUP
2026-05-08,swing,GULA.JK,PRE_MARKUP
2026-05-08,swing,KKES.JK,PRE_MARKUP
2026-05-08,swing,TOOL.JK,PRE_MARKUP
2026-05-08,swing,MEDS.JK,PRE_MARKUP
2026-05-08,swing,NINE.JK,PRE_MARKUP
2026-05-08,swing,MMIX.JK,PRE_MARKUP
2026-05-08,swing,PADA.JK,PRE_MARKUP
2026-05-08,swing,CBRE.JK,PRE_MARKUP
2026-05-08,swing,VAST.JK,PRE_MARKUP
2026-05-08,swing,HALO.JK,PRE_MARKUP
2026-05-08,swing,KING.JK,PRE_MARKUP
2026-05-08,swing,PGEO.JK,PRE_MARKUP
2026-05-08,swing,BDKR.JK,PRE_MARKUP
2026-05-08,swing,PTMP.JK,PRE_MARKUP
2026-05-08,swing,KLAS.JK,PRE_MARKUP
2026-05-08,swing,HBAT.JK,PRE_MARKUP
2026-05-08,swing,RGAS.JK,PRE_MARKUP
2026-05-08,swing,AYAM.JK,PRE_MARKUP
2026-05-08,swing,SURI.JK,PRE_MARKUP
2026-05-08,swing,GRPH.JK,PRE_MARKUP
2026-05-08,swing,ALII.JK,PRE_MARKUP
2026-05-08,swing,BAIK.JK,PRE_MARKUP
2026-05-08,swing,NEST.JK,PRE_MARKUP
2026-05-08,swing,NAIK.JK,PRE_MARKUP
