signal_date,eval_date,strategy,ticker,signal,prev,open,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-08-12,2026-08-13,scalping,ALKA.JK,SCALPING_HIGH,2570.0,,2380.0,2550.0,-0.78,-7.39,L,L,evaluated
2026-08-12,2026-08-13,scalping,BIPP.JK,SCALPING_HIGH,74.0,,63.0,74.0,0.0,-14.86,L,L,evaluated
2026-08-12,2026-08-13,scalping,CPRO.JK,SCALPING_HIGH,53.0,,52.0,53.0,0.0,-1.89,L,L,evaluated
2026-08-12,2026-08-13,scalping,DSSA.JK,SCALPING_HIGH,1000.0,,990.0,1025.0,2.5,-1.0,W,L,evaluated
2026-08-12,2026-08-13,scalping,EKAD.JK,SCALPING_HIGH,240.0,,300.0,300.0,25.0,25.0,W,W,evaluated
2026-08-12,2026-08-13,scalping,EXCL.JK,SCALPING_HIGH,2560.0,,2630.0,2640.0,3.12,2.73,W,W,evaluated
2026-08-12,2026-08-13,scalping,INPP.JK,SCALPING_HIGH,750.0,,770.0,800.0,6.67,2.67,W,W,evaluated
2026-08-12,2026-08-13,scalping,INTD.JK,SCALPING_HIGH,276.0,,280.0,284.0,2.9,1.45,W,W,evaluated
2026-08-12,2026-08-13,scalping,ISAT.JK,SCALPING_HIGH,2460.0,,2470.0,2560.0,4.07,0.41,W,W,evaluated
2026-08-12,2026-08-13,scalping,JIHD.JK,SCALPING_HIGH,446.0,,446.0,456.0,2.24,0.0,W,L,evaluated
2026-08-12,2026-08-13,scalping,KBLV.JK,SCALPING_HIGH,152.0,,145.0,154.0,1.32,-4.61,W,L,evaluated
2026-08-12,2026-08-13,scalping,LMPI.JK,SCALPING_HIGH,163.0,,153.0,163.0,0.0,-6.13,L,L,evaluated
2026-08-12,2026-08-13,scalping,MPPA.JK,SCALPING_HIGH,50.0,,50.0,50.0,0.0,0.0,L,L,evaluated
2026-08-12,2026-08-13,scalping,MYOH.JK,SCALPING_HIGH,1070.0,,1070.0,1120.0,4.67,0.0,W,L,evaluated
2026-08-12,2026-08-13,scalping,PTRO.JK,SCALPING_HIGH,5500.0,,5200.0,5500.0,0.0,-5.45,L,L,evaluated
2026-08-12,2026-08-13,scalping,RODA.JK,SCALPING_HIGH,67.0,,66.0,69.0,2.99,-1.49,W,L,evaluated
2026-08-12,2026-08-13,scalping,TMPO.JK,SCALPING_HIGH,198.0,,188.0,200.0,1.01,-5.05,W,L,evaluated
2026-08-12,2026-08-13,scalping,TOTL.JK,SCALPING_HIGH,1410.0,,1450.0,1450.0,2.84,2.84,W,W,evaluated
2026-08-12,2026-08-13,scalping,VOKS.JK,SCALPING_HIGH,234.0,,228.0,238.0,1.71,-2.56,W,L,evaluated
2026-08-12,2026-08-13,scalping,WAPO.JK,SCALPING_HIGH,132.0,,142.0,156.0,18.18,7.58,W,W,evaluated
2026-08-12,2026-08-13,scalping,WTON.JK,SCALPING_HIGH,81.0,,79.0,82.0,1.23,-2.47,W,L,evaluated
2026-08-12,2026-08-13,scalping,YPAS.JK,SCALPING_HIGH,770.0,,960.0,960.0,24.68,24.68,W,W,evaluated
2026-08-12,2026-08-13,scalping,POWR.JK,SCALPING_HIGH,825.0,,805.0,815.0,-1.21,-2.42,L,L,evaluated
2026-08-12,2026-08-13,scalping,HRTA.JK,SCALPING_HIGH,2180.0,,2130.0,2210.0,1.38,-2.29,W,L,evaluated
2026-08-12,2026-08-13,scalping,MCAS.JK,SCALPING_HIGH,310.0,,318.0,332.0,7.1,2.58,W,W,evaluated
2026-08-12,2026-08-13,scalping,WEGE.JK,SCALPING_HIGH,52.0,,52.0,53.0,1.92,0.0,W,L,evaluated
2026-08-12,2026-08-13,scalping,NICK.JK,SCALPING_HIGH,1500.0,,1500.0,1550.0,3.33,0.0,W,L,evaluated
2026-08-12,2026-08-13,scalping,TUGU.JK,SCALPING_HIGH,1275.0,,1280.0,1305.0,2.35,0.39,W,W,evaluated
2026-08-12,2026-08-13,scalping,SOTS.JK,SCALPING_HIGH,670.0,,685.0,735.0,9.7,2.24,W,W,evaluated
2026-08-12,2026-08-13,scalping,KJEN.JK,SCALPING_HIGH,161.0,,158.0,164.0,1.86,-1.86,W,L,evaluated
2026-08-12,2026-08-13,scalping,OPMS.JK,SCALPING_HIGH,132.0,,127.0,133.0,0.76,-3.79,W,L,evaluated
2026-08-12,2026-08-13,scalping,IFSH.JK,SCALPING_HIGH,1180.0,,1150.0,1180.0,0.0,-2.54,L,L,evaluated
2026-08-12,2026-08-13,scalping,TAMA.JK,SCALPING_HIGH,252.0,,262.0,284.0,12.7,3.97,W,W,evaluated
2026-08-12,2026-08-13,scalping,IKAN.JK,SCALPING_HIGH,89.0,,89.0,91.0,2.25,0.0,W,L,evaluated
2026-08-12,2026-08-13,scalping,CSMI.JK,SCALPING_HIGH,126.0,,119.0,127.0,0.79,-5.56,W,L,evaluated
2026-08-12,2026-08-13,scalping,BBSS.JK,SCALPING_HIGH,106.0,,106.0,115.0,8.49,0.0,W,L,evaluated
2026-08-12,2026-08-13,scalping,SOFA.JK,SCALPING_HIGH,270.0,,262.0,282.0,4.44,-2.96,W,L,evaluated
2026-08-12,2026-08-13,scalping,HOMI.JK,SCALPING_HIGH,193.0,,198.0,200.0,3.63,2.59,W,W,evaluated
2026-08-12,2026-08-13,scalping,ROCK.JK,SCALPING_HIGH,2050.0,,2220.0,2480.0,20.98,8.29,W,W,evaluated
2026-08-12,2026-08-13,scalping,ATAP.JK,SCALPING_HIGH,625.0,,590.0,635.0,1.6,-5.6,W,L,evaluated
2026-08-12,2026-08-13,scalping,TAPG.JK,SCALPING_HIGH,1805.0,,1780.0,1810.0,0.28,-1.39,W,L,evaluated
2026-08-12,2026-08-13,scalping,GTSI.JK,SCALPING_HIGH,188.0,,180.0,188.0,0.0,-4.26,L,L,evaluated
2026-08-12,2026-08-13,scalping,SWID.JK,SCALPING_HIGH,107.0,,113.0,126.0,17.76,5.61,W,W,evaluated
2026-08-12,2026-08-13,scalping,ARKO.JK,SCALPING_HIGH,5500.0,,5125.0,5600.0,1.82,-6.82,W,L,evaluated
2026-08-12,2026-08-13,scalping,HATM.JK,SCALPING_HIGH,590.0,,585.0,595.0,0.85,-0.85,W,L,evaluated
2026-08-12,2026-08-13,scalping,NINE.JK,SCALPING_HIGH,78.0,,76.0,80.0,2.56,-2.56,W,L,evaluated
2026-08-12,2026-08-13,scalping,VTNY.JK,SCALPING_HIGH,73.0,,73.0,74.0,1.37,0.0,W,L,evaluated
2026-08-12,2026-08-13,scalping,FUTR.JK,SCALPING_HIGH,342.0,,330.0,346.0,1.17,-3.51,W,L,evaluated
2026-08-12,2026-08-13,scalping,CUAN.JK,SCALPING_HIGH,870.0,,840.0,885.0,1.72,-3.45,W,L,evaluated
2026-08-12,2026-08-13,scalping,IOTF.JK,SCALPING_HIGH,73.0,,72.0,79.0,8.22,-1.37,W,L,evaluated
2026-08-12,2026-08-13,scalping,BREN.JK,SCALPING_HIGH,3750.0,,3660.0,3940.0,5.07,-2.4,W,L,evaluated
2026-08-12,2026-08-13,scalping,MEJA.JK,SCALPING_HIGH,112.0,,113.0,114.0,1.79,0.89,W,W,evaluated
2026-08-12,2026-08-13,scalping,ISEA.JK,SCALPING_HIGH,86.0,,82.0,86.0,0.0,-4.65,L,L,evaluated
2026-08-12,2026-08-13,scalping,DAAZ.JK,SCALPING_HIGH,1765.0,,1715.0,1770.0,0.28,-2.83,W,L,evaluated
2026-08-12,2026-08-13,scalping,FORE.JK,SCALPING_HIGH,850.0,,830.0,875.0,2.94,-2.35,W,L,evaluated
2026-08-12,2026-08-13,scalping,DOOH.JK,SCALPING_HIGH,284.0,,268.0,290.0,2.11,-5.63,W,L,evaluated
2026-08-12,2026-08-13,scalping,DCII.JK,SCALPING_HIGH,207200.0,,206000.0,207050.0,-0.07,-0.58,L,L,evaluated
