signal_date,eval_date,strategy,ticker,signal,prev,open,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-07-09,2026-07-10,swing,ADES.JK,PRE_MARKUP,35625.0,,35450.0,35725.0,0.28,-0.49,W,L,evaluated
2026-07-09,2026-07-10,swing,ARTO.JK,PRE_MARKUP,1200.0,,1135.0,1220.0,1.67,-5.42,W,L,evaluated
2026-07-09,2026-07-10,swing,ASGR.JK,PRE_MARKUP,1825.0,,1800.0,1850.0,1.37,-1.37,W,L,evaluated
2026-07-09,2026-07-10,swing,BFIN.JK,BREAKOUT,805.0,,800.0,830.0,3.11,-0.62,W,L,evaluated
2026-07-09,2026-07-10,swing,CFIN.JK,PRE_MARKUP,328.0,,332.0,332.0,1.22,1.22,W,W,evaluated
2026-07-09,2026-07-10,swing,GGRM.JK,PRE_MARKUP,16325.0,,16375.0,16550.0,1.38,0.31,W,W,evaluated
2026-07-09,2026-07-10,swing,JRPT.JK,PRE_MARKUP,1080.0,,1080.0,1080.0,0.0,0.0,L,L,evaluated
2026-07-09,2026-07-10,swing,MAPI.JK,PRE_MARKUP,1525.0,,1535.0,1540.0,0.98,0.66,W,W,evaluated
2026-07-09,2026-07-10,swing,SPMA.JK,PRE_MARKUP,168.0,,172.0,174.0,3.57,2.38,W,W,evaluated
2026-07-09,2026-07-10,swing,PRDA.JK,PRE_MARKUP,2500.0,,2430.0,2500.0,0.0,-2.8,L,L,evaluated
2026-07-09,2026-07-10,swing,SPTO.JK,PRE_MARKUP,570.0,,575.0,580.0,1.75,0.88,W,W,evaluated
2026-07-09,2026-07-10,swing,TUGU.JK,PRE_MARKUP,1245.0,,1245.0,1255.0,0.8,0.0,W,L,evaluated
2026-07-09,2026-07-10,swing,HATM.JK,PRE_MARKUP,454.0,,410.0,454.0,0.0,-9.69,L,L,evaluated
2026-07-09,2026-07-10,swing,MMIX.JK,PRE_MARKUP,785.0,,750.0,880.0,12.1,-4.46,W,L,evaluated
2026-07-09,2026-07-10,swing,NEST.JK,PRE_MARKUP,620.0,,640.0,640.0,3.23,3.23,W,W,evaluated
