signal_date,eval_date,strategy,ticker,signal,prev,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-08-13,2026-08-14,scalping,ALDO.JK,SCALPING_HIGH,870.0,920.0,925.0,6.32,5.75,W,W,evaluated
2026-08-13,2026-08-14,scalping,CSAP.JK,SCALPING_HIGH,304.0,286.0,310.0,1.97,-5.92,W,L,evaluated
2026-08-13,2026-08-14,scalping,EKAD.JK,SCALPING_HIGH,300.0,316.0,368.0,22.67,5.33,W,W,evaluated
2026-08-13,2026-08-14,scalping,ESSA.JK,SCALPING_HIGH,660.0,655.0,670.0,1.52,-0.76,W,L,evaluated
2026-08-13,2026-08-14,scalping,EXCL.JK,SCALPING_HIGH,2630.0,2800.0,2810.0,6.84,6.46,W,W,evaluated
2026-08-13,2026-08-14,scalping,ICON.JK,SCALPING_HIGH,135.0,134.0,146.0,8.15,-0.74,W,L,evaluated
2026-08-13,2026-08-14,scalping,INPP.JK,SCALPING_HIGH,770.0,760.0,770.0,0.0,-1.3,L,L,evaluated
2026-08-13,2026-08-14,scalping,JSPT.JK,SCALPING_HIGH,1445.0,1405.0,1475.0,2.08,-2.77,W,L,evaluated
2026-08-13,2026-08-14,scalping,KBLV.JK,SCALPING_HIGH,145.0,144.0,149.0,2.76,-0.69,W,L,evaluated
2026-08-13,2026-08-14,scalping,LMPI.JK,SCALPING_HIGH,153.0,150.0,153.0,0.0,-1.96,L,L,evaluated
2026-08-13,2026-08-14,scalping,RELI.JK,SCALPING_HIGH,496.0,486.0,575.0,15.93,-2.02,W,L,evaluated
2026-08-13,2026-08-14,scalping,STAR.JK,SCALPING_HIGH,380.0,464.0,474.0,24.74,22.11,W,W,evaluated
2026-08-13,2026-08-14,scalping,TMPO.JK,SCALPING_HIGH,188.0,195.0,220.0,17.02,3.72,W,W,evaluated
2026-08-13,2026-08-14,scalping,VOKS.JK,SCALPING_HIGH,228.0,228.0,236.0,3.51,0.0,W,L,evaluated
2026-08-13,2026-08-14,scalping,WAPO.JK,SCALPING_HIGH,142.0,138.0,146.0,2.82,-2.82,W,L,evaluated
2026-08-13,2026-08-14,scalping,YPAS.JK,SCALPING_HIGH,960.0,1200.0,1200.0,25.0,25.0,W,W,evaluated
2026-08-13,2026-08-14,scalping,SHIP.JK,SCALPING_HIGH,2260.0,2330.0,2370.0,4.87,3.1,W,W,evaluated
2026-08-13,2026-08-14,scalping,POWR.JK,SCALPING_HIGH,805.0,810.0,810.0,0.62,0.62,W,W,evaluated
2026-08-13,2026-08-14,scalping,PBSA.JK,SCALPING_HIGH,910.0,870.0,890.0,-2.2,-4.4,L,L,evaluated
2026-08-13,2026-08-14,scalping,MCAS.JK,SCALPING_HIGH,318.0,310.0,332.0,4.4,-2.52,W,L,evaluated
2026-08-13,2026-08-14,scalping,SOTS.JK,SCALPING_HIGH,685.0,660.0,700.0,2.19,-3.65,W,L,evaluated
2026-08-13,2026-08-14,scalping,CCSI.JK,SCALPING_HIGH,262.0,260.0,262.0,0.0,-0.76,L,L,evaluated
2026-08-13,2026-08-14,scalping,KJEN.JK,SCALPING_HIGH,158.0,160.0,167.0,5.7,1.27,W,W,evaluated
2026-08-13,2026-08-14,scalping,SLIS.JK,SCALPING_HIGH,88.0,102.0,114.0,29.55,15.91,W,W,evaluated
2026-08-13,2026-08-14,scalping,AGAR.JK,SCALPING_HIGH,1285.0,1605.0,1605.0,24.9,24.9,W,W,evaluated
2026-08-13,2026-08-14,scalping,TAMA.JK,SCALPING_HIGH,262.0,260.0,278.0,6.11,-0.76,W,L,evaluated
2026-08-13,2026-08-14,scalping,BBSS.JK,SCALPING_HIGH,106.0,105.0,111.0,4.72,-0.94,W,L,evaluated
2026-08-13,2026-08-14,scalping,SOFA.JK,SCALPING_HIGH,262.0,252.0,278.0,6.11,-3.82,W,L,evaluated
