signal_date,eval_date,strategy,ticker,signal,prev,open,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-09-01,2026-09-02,scalping,AALI.JK,SCALPING_HIGH,8400.0,8400.0,8375.0,8450.0,0.6,-0.3,W,L,evaluated
2026-09-01,2026-09-02,scalping,BAJA.JK,SCALPING_HIGH,294.0,292.0,286.0,296.0,0.68,-2.72,W,L,evaluated
2026-09-01,2026-09-02,scalping,BBLD.JK,SCALPING_HIGH,720.0,720.0,690.0,770.0,6.94,-4.17,W,L,evaluated
2026-09-01,2026-09-02,scalping,BBRI.JK,SCALPING_HIGH,3380.0,3390.0,3390.0,3400.0,0.59,0.3,W,W,evaluated
2026-09-01,2026-09-02,scalping,BBYB.JK,SCALPING_HIGH,266.0,266.0,278.0,294.0,10.53,4.51,W,W,evaluated
2026-09-01,2026-09-02,scalping,BEST.JK,SCALPING_HIGH,135.0,136.0,133.0,137.0,1.48,-1.48,W,L,evaluated
2026-09-01,2026-09-02,scalping,BFIN.JK,SCALPING_HIGH,980.0,980.0,950.0,985.0,0.51,-3.06,W,L,evaluated
2026-09-01,2026-09-02,scalping,BGTG.JK,SCALPING_HIGH,123.0,127.0,125.0,135.0,9.76,1.63,W,W,evaluated
2026-09-01,2026-09-02,scalping,BSIM.JK,SCALPING_HIGH,1100.0,1375.0,1230.0,1375.0,25.0,11.82,W,W,evaluated
2026-09-01,2026-09-02,scalping,BUMI.JK,SCALPING_HIGH,206.0,210.0,206.0,210.0,1.94,0.0,W,L,evaluated
2026-09-01,2026-09-02,scalping,BUVA.JK,SCALPING_HIGH,790.0,800.0,770.0,805.0,1.9,-2.53,W,L,evaluated
2026-09-01,2026-09-02,scalping,BVIC.JK,SCALPING_HIGH,96.0,97.0,96.0,100.0,4.17,0.0,W,L,evaluated
2026-09-01,2026-09-02,scalping,CSAP.JK,SCALPING_HIGH,302.0,302.0,294.0,304.0,0.66,-2.65,W,L,evaluated
2026-09-01,2026-09-02,scalping,DGIK.JK,SCALPING_HIGH,146.0,146.0,144.0,146.0,0.0,-1.37,L,L,evaluated
2026-09-01,2026-09-02,scalping,DILD.JK,SCALPING_HIGH,126.0,127.0,124.0,127.0,0.79,-1.59,W,L,evaluated
2026-09-01,2026-09-02,scalping,DLTA.JK,SCALPING_HIGH,1805.0,1800.0,1790.0,1805.0,0.0,-0.83,L,L,evaluated
2026-09-01,2026-09-02,scalping,DMAS.JK,SCALPING_HIGH,198.0,196.0,202.0,204.0,3.03,2.02,W,W,evaluated
2026-09-01,2026-09-02,scalping,DSNG.JK,SCALPING_HIGH,1710.0,1720.0,1700.0,1730.0,1.17,-0.58,W,L,evaluated
2026-09-01,2026-09-02,scalping,EMDE.JK,SCALPING_HIGH,80.0,80.0,78.0,80.0,0.0,-2.5,L,L,evaluated
2026-09-01,2026-09-02,scalping,ESSA.JK,SCALPING_HIGH,695.0,700.0,715.0,720.0,3.6,2.88,W,W,evaluated
