signal_date,eval_date,strategy,ticker,signal,prev,open,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-08-26,2026-08-27,swing,ASGR.JK,PRE_MARKUP,1885.0,,2090.0,2240.0,18.83,10.88,W,W,evaluated
2026-08-26,2026-08-27,swing,BSSR.JK,PRE_MARKUP,4470.0,,4530.0,4530.0,1.34,1.34,W,W,evaluated
2026-08-26,2026-08-27,swing,BUDI.JK,PRE_MARKUP,236.0,,236.0,240.0,1.69,0.0,W,L,evaluated
2026-08-26,2026-08-27,swing,BWPT.JK,PRE_MARKUP,96.0,,102.0,103.0,7.29,6.25,W,W,evaluated
2026-08-26,2026-08-27,swing,CFIN.JK,PRE_MARKUP,350.0,,352.0,354.0,1.14,0.57,W,W,evaluated
2026-08-26,2026-08-27,swing,DMAS.JK,PRE_MARKUP,167.0,,179.0,184.0,10.18,7.19,W,W,evaluated
2026-08-26,2026-08-27,swing,GJTL.JK,PRE_MARKUP,1400.0,,1445.0,1455.0,3.93,3.21,W,W,evaluated
2026-08-26,2026-08-27,swing,HDFA.JK,PRE_MARKUP,102.0,,101.0,104.0,1.96,-0.98,W,L,evaluated
2026-08-26,2026-08-27,swing,ISAT.JK,PRE_MARKUP,2480.0,,2610.0,2610.0,5.24,5.24,W,W,evaluated
2026-08-26,2026-08-27,swing,JAWA.JK,PRE_MARKUP,130.0,,134.0,135.0,3.85,3.08,W,W,evaluated
2026-08-26,2026-08-27,swing,KKGI.JK,PRE_MARKUP,282.0,,278.0,282.0,0.0,-1.42,L,L,evaluated
2026-08-26,2026-08-27,swing,LAPD.JK,PRE_MARKUP,68.0,,69.0,70.0,2.94,1.47,W,W,evaluated
2026-08-26,2026-08-27,swing,LPPF.JK,PRE_MARKUP,1595.0,,1610.0,1610.0,0.94,0.94,W,W,evaluated
2026-08-26,2026-08-27,swing,MITI.JK,PRE_MARKUP,220.0,,250.0,264.0,20.0,13.64,W,W,evaluated
2026-08-26,2026-08-27,swing,MPMX.JK,PRE_MARKUP,1010.0,,1015.0,1015.0,0.5,0.5,W,W,evaluated
2026-08-26,2026-08-27,swing,NRCA.JK,PRE_MARKUP,565.0,,590.0,590.0,4.42,4.42,W,W,evaluated
2026-08-26,2026-08-27,swing,PSKT.JK,PRE_MARKUP,220.0,,236.0,244.0,10.91,7.27,W,W,evaluated
2026-08-26,2026-08-27,swing,SDMU.JK,PRE_MARKUP,82.0,,93.0,97.0,18.29,13.41,W,W,evaluated
2026-08-26,2026-08-27,swing,SMAR.JK,PRE_MARKUP,5825.0,,6100.0,6200.0,6.44,4.72,W,W,evaluated
2026-08-26,2026-08-27,swing,SRTG.JK,PRE_MARKUP,1900.0,,1955.0,1955.0,2.89,2.89,W,W,evaluated
2026-08-26,2026-08-27,swing,SSIA.JK,PRE_MARKUP,1800.0,,1855.0,1880.0,4.44,3.06,W,W,evaluated
2026-08-26,2026-08-27,swing,TINS.JK,PRE_MARKUP,4020.0,,4080.0,4120.0,2.49,1.49,W,W,evaluated
2026-08-26,2026-08-27,swing,TOBA.JK,PRE_MARKUP,535.0,,600.0,605.0,13.08,12.15,W,W,evaluated
2026-08-26,2026-08-27,swing,TOTL.JK,PRE_MARKUP,1535.0,,1555.0,1560.0,1.63,1.3,W,W,evaluated
2026-08-26,2026-08-27,swing,POWR.JK,PRE_MARKUP,860.0,,925.0,930.0,8.14,7.56,W,W,evaluated
2026-08-26,2026-08-27,swing,FIRE.JK,PRE_MARKUP,108.0,,113.0,115.0,6.48,4.63,W,W,evaluated
2026-08-26,2026-08-27,swing,MPOW.JK,PRE_MARKUP,116.0,,113.0,121.0,4.31,-2.59,W,L,evaluated
2026-08-26,2026-08-27,swing,TRUK.JK,PRE_MARKUP,765.0,,810.0,825.0,7.84,5.88,W,W,evaluated
2026-08-26,2026-08-27,swing,TUGU.JK,PRE_MARKUP,1315.0,,1335.0,1340.0,1.9,1.52,W,W,evaluated
2026-08-26,2026-08-27,swing,PEHA.JK,PRE_MARKUP,276.0,,278.0,286.0,3.62,0.72,W,W,evaluated
2026-08-26,2026-08-27,swing,PGJO.JK,PRE_MARKUP,900.0,,910.0,930.0,3.33,1.11,W,W,evaluated
2026-08-26,2026-08-27,swing,SOFA.JK,PRE_MARKUP,326.0,,358.0,358.0,9.82,9.82,W,W,evaluated
2026-08-26,2026-08-27,swing,PPGL.JK,PRE_MARKUP,268.0,,294.0,294.0,9.7,9.7,W,W,evaluated
2026-08-26,2026-08-27,swing,PURI.JK,PRE_MARKUP,145.0,,153.0,155.0,6.9,5.52,W,W,evaluated
2026-08-26,2026-08-27,swing,VICI.JK,PRE_MARKUP,710.0,,745.0,755.0,6.34,4.93,W,W,evaluated
2026-08-26,2026-08-27,swing,ARCI.JK,PRE_MARKUP,1375.0,,1445.0,1445.0,5.09,5.09,W,W,evaluated
2026-08-26,2026-08-27,swing,DRMA.JK,PRE_MARKUP,1000.0,,1005.0,1015.0,1.5,0.5,W,W,evaluated
2026-08-26,2026-08-27,swing,NANO.JK,PRE_MARKUP,35.0,,34.0,36.0,2.86,-2.86,W,L,evaluated
2026-08-26,2026-08-27,swing,NINE.JK,PRE_MARKUP,91.0,,100.0,100.0,9.89,9.89,W,W,evaluated
2026-08-26,2026-08-27,swing,NAYZ.JK,PRE_MARKUP,72.0,,75.0,75.0,4.17,4.17,W,W,evaluated
2026-08-26,2026-08-27,swing,INET.JK,PRE_MARKUP,306.0,,350.0,352.0,15.03,14.38,W,W,evaluated
2026-08-26,2026-08-27,swing,AEGS.JK,PRE_MARKUP,48.0,,47.0,52.0,8.33,-2.08,W,L,evaluated
2026-08-26,2026-08-27,swing,RGAS.JK,BREAKOUT,268.0,,228.0,280.0,4.48,-14.93,W,L,evaluated
2026-08-26,2026-08-27,swing,ASLI.JK,PRE_MARKUP,222.0,,238.0,242.0,9.01,7.21,W,W,evaluated
2026-08-26,2026-08-27,swing,MEJA.JK,PRE_MARKUP,118.0,,119.0,127.0,7.63,0.85,W,W,evaluated
2026-08-26,2026-08-27,swing,VERN.JK,PRE_MARKUP,236.0,,254.0,258.0,9.32,7.63,W,W,evaluated
2026-08-26,2026-08-27,swing,NAIK.JK,PRE_MARKUP,91.0,,94.0,95.0,4.4,3.3,W,W,evaluated
2026-08-26,2026-08-27,swing,AADI.JK,PRE_MARKUP,10000.0,,10125.0,10175.0,1.75,1.25,W,W,evaluated
2026-08-26,2026-08-27,swing,PIPA.JK,PRE_MARKUP,179.0,,202.0,206.0,15.08,12.85,W,W,evaluated
2026-08-26,2026-08-27,swing,ACRO.JK,PRE_MARKUP,64.0,,64.0,64.0,0.0,0.0,L,L,evaluated
2026-08-26,2026-08-27,swing,KETR.JK,PRE_MARKUP,620.0,,775.0,775.0,25.0,25.0,W,W,evaluated
2026-08-26,2026-08-27,swing,ADMF.JK,PRE_MARKUP,8700.0,,8700.0,8750.0,0.57,0.0,W,L,evaluated
2026-08-26,2026-08-27,swing,ADRO.JK,PRE_MARKUP,2610.0,,2700.0,2740.0,4.98,3.45,W,W,evaluated
