signal_date,eval_date,strategy,ticker,signal,prev,open,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-07-16,2026-07-17,swing,BFIN.JK,PRE_MARKUP,785.0,765.0,785.0,815.0,3.82,0.0,W,L,evaluated
2026-07-16,2026-07-17,swing,BKDP.JK,PRE_MARKUP,156.0,164.0,151.0,164.0,5.13,-3.21,W,L,evaluated
2026-07-16,2026-07-17,swing,CFIN.JK,PRE_MARKUP,334.0,334.0,334.0,336.0,0.6,0.0,W,L,evaluated
2026-07-16,2026-07-17,swing,DMAS.JK,PRE_MARKUP,140.0,140.0,139.0,140.0,0.0,-0.71,L,L,evaluated
2026-07-16,2026-07-17,swing,DSFI.JK,PRE_MARKUP,80.0,81.0,80.0,83.0,3.75,0.0,W,L,evaluated
2026-07-16,2026-07-17,swing,GGRM.JK,PRE_MARKUP,16975.0,16950.0,17000.0,17350.0,2.21,0.15,W,W,evaluated
2026-07-16,2026-07-17,swing,MPMX.JK,PRE_MARKUP,985.0,990.0,1000.0,1000.0,1.52,1.52,W,W,evaluated
2026-07-16,2026-07-17,swing,NRCA.JK,PRE_MARKUP,515.0,515.0,500.0,520.0,0.97,-2.91,W,L,evaluated
2026-07-16,2026-07-17,swing,PKPK.JK,PRE_MARKUP,3500.0,3500.0,3550.0,3550.0,1.43,1.43,W,W,evaluated
2026-07-16,2026-07-17,swing,RBMS.JK,PRE_MARKUP,69.0,72.0,75.0,76.0,10.14,8.7,W,W,evaluated
2026-07-16,2026-07-17,swing,SRTG.JK,PRE_MARKUP,1685.0,1685.0,1710.0,1735.0,2.97,1.48,W,W,evaluated
2026-07-16,2026-07-17,swing,SPTO.JK,PRE_MARKUP,585.0,585.0,590.0,595.0,1.71,0.85,W,W,evaluated
2026-07-16,2026-07-17,swing,TUGU.JK,PRE_MARKUP,1245.0,1245.0,1240.0,1250.0,0.4,-0.4,W,L,evaluated
2026-07-16,2026-07-17,swing,ATAP.JK,PRE_MARKUP,560.0,560.0,560.0,565.0,0.89,0.0,W,L,evaluated
2026-07-16,2026-07-17,swing,WGSH.JK,PRE_MARKUP,150.0,150.0,143.0,150.0,0.0,-4.67,L,L,evaluated
2026-07-16,2026-07-17,swing,HATM.JK,PRE_MARKUP,448.0,448.0,446.0,456.0,1.79,-0.45,W,L,evaluated
2026-07-16,2026-07-17,swing,GULA.JK,PRE_MARKUP,680.0,680.0,720.0,725.0,6.62,5.88,W,W,evaluated
2026-07-16,2026-07-17,swing,KKES.JK,PRE_MARKUP,66.0,72.0,70.0,72.0,9.09,6.06,W,W,evaluated
2026-07-16,2026-07-17,swing,AYAM.JK,PRE_MARKUP,364.0,362.0,374.0,376.0,3.3,2.75,W,W,evaluated
2026-07-16,2026-07-17,swing,DATA.JK,PRE_MARKUP,2210.0,2200.0,2090.0,2200.0,-0.45,-5.43,L,L,evaluated
