signal_date,eval_date,strategy,ticker,signal,prev,open,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-06-23,2026-06-24,swing,CLPI.JK,PRE_MARKUP,1720.0,,1710.0,1735.0,0.87,-0.58,W,L,evaluated
2026-06-23,2026-06-24,swing,DMAS.JK,PRE_MARKUP,155.0,,151.0,156.0,0.65,-2.58,W,L,evaluated
2026-06-23,2026-06-24,swing,GGRM.JK,PRE_MARKUP,17150.0,,16250.0,17250.0,0.58,-5.25,W,L,evaluated
2026-06-23,2026-06-24,swing,GJTL.JK,PRE_MARKUP,1170.0,,1145.0,1190.0,1.71,-2.14,W,L,evaluated
2026-06-23,2026-06-24,swing,MAPI.JK,PRE_MARKUP,1520.0,,1515.0,1525.0,0.33,-0.33,W,L,evaluated
2026-06-23,2026-06-24,swing,MPMX.JK,PRE_MARKUP,960.0,,955.0,970.0,1.04,-0.52,W,L,evaluated
2026-06-23,2026-06-24,swing,PRDA.JK,PRE_MARKUP,2600.0,,2440.0,2590.0,-0.38,-6.15,L,L,evaluated
2026-06-23,2026-06-24,swing,MARK.JK,PRE_MARKUP,950.0,,950.0,965.0,1.58,0.0,W,L,evaluated
2026-06-23,2026-06-24,swing,MGLV.JK,PRE_MARKUP,8250.0,,8550.0,8550.0,3.64,3.64,W,W,evaluated
2026-06-23,2026-06-24,swing,GULA.JK,PRE_MARKUP,620.0,,595.0,640.0,3.23,-4.03,W,L,evaluated
2026-06-23,2026-06-24,swing,NEST.JK,PRE_MARKUP,585.0,,585.0,600.0,2.56,0.0,W,L,evaluated
