signal_date,eval_date,strategy,ticker,signal,prev,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-07-06,2026-07-07,scalping,ASGR.JK,SCALPING_HIGH,1585.0,1650.0,1660.0,4.73,4.1,W,W,evaluated
2026-07-06,2026-07-07,scalping,BALI.JK,SCALPING_HIGH,1365.0,1270.0,1350.0,-1.1,-6.96,L,L,evaluated
2026-07-06,2026-07-07,scalping,BAPA.JK,SCALPING_HIGH,414.0,454.0,454.0,9.66,9.66,W,W,evaluated
2026-07-06,2026-07-07,scalping,BBHI.JK,SCALPING_HIGH,930.0,915.0,945.0,1.61,-1.61,W,L,evaluated
2026-07-06,2026-07-07,scalping,BNBR.JK,SCALPING_HIGH,104.0,101.0,105.0,0.96,-2.88,W,L,evaluated
2026-07-06,2026-07-07,scalping,BUKK.JK,SCALPING_HIGH,1160.0,1150.0,1200.0,3.45,-0.86,W,L,evaluated
2026-07-06,2026-07-07,scalping,BUVA.JK,SCALPING_HIGH,870.0,865.0,910.0,4.6,-0.57,W,L,evaluated
2026-07-06,2026-07-07,scalping,ECII.JK,SCALPING_HIGH,138.0,136.0,142.0,2.9,-1.45,W,L,evaluated
2026-07-06,2026-07-07,scalping,EMDE.JK,SCALPING_HIGH,71.0,72.0,73.0,2.82,1.41,W,W,evaluated
2026-07-06,2026-07-07,scalping,FAST.JK,SCALPING_HIGH,268.0,272.0,290.0,8.21,1.49,W,W,evaluated
2026-07-06,2026-07-07,scalping,JSPT.JK,SCALPING_HIGH,1340.0,1415.0,1420.0,5.97,5.6,W,W,evaluated
2026-07-06,2026-07-07,scalping,LAPD.JK,SCALPING_HIGH,78.0,70.0,84.0,7.69,-10.26,W,L,evaluated
2026-07-06,2026-07-07,scalping,PADI.JK,SCALPING_HIGH,91.0,87.0,91.0,0.0,-4.4,L,L,evaluated
2026-07-06,2026-07-07,scalping,RAJA.JK,SCALPING_HIGH,4130.0,4120.0,4170.0,0.97,-0.24,W,L,evaluated
2026-07-06,2026-07-07,scalping,SKBM.JK,SCALPING_HIGH,535.0,645.0,665.0,24.3,20.56,W,W,evaluated
2026-07-06,2026-07-07,scalping,SPMA.JK,SCALPING_HIGH,212.0,218.0,220.0,3.77,2.83,W,W,evaluated
2026-07-06,2026-07-07,scalping,SQMI.JK,SCALPING_HIGH,52.0,57.0,57.0,9.62,9.62,W,W,evaluated
2026-07-06,2026-07-07,scalping,TRIS.JK,SCALPING_HIGH,165.0,160.0,178.0,7.88,-3.03,W,L,evaluated
2026-07-06,2026-07-07,scalping,UNTR.JK,SCALPING_HIGH,23800.0,24000.0,24050.0,1.05,0.84,W,W,evaluated
2026-07-06,2026-07-07,scalping,PBSA.JK,SCALPING_HIGH,835.0,830.0,850.0,1.8,-0.6,W,L,evaluated
2026-07-06,2026-07-07,scalping,PORT.JK,SCALPING_HIGH,900.0,880.0,915.0,1.67,-2.22,W,L,evaluated
2026-07-06,2026-07-07,scalping,MINA.JK,SCALPING_HIGH,288.0,280.0,294.0,2.08,-2.78,W,L,evaluated
2026-07-06,2026-07-07,scalping,CITY.JK,SCALPING_HIGH,166.0,167.0,168.0,1.2,0.6,W,W,evaluated
2026-07-06,2026-07-07,scalping,SOSS.JK,SCALPING_HIGH,835.0,915.0,915.0,9.58,9.58,W,W,evaluated
2026-07-06,2026-07-07,scalping,BEEF.JK,SCALPING_HIGH,210.0,262.0,262.0,24.76,24.76,W,W,evaluated
2026-07-06,2026-07-07,scalping,JAYA.JK,SCALPING_HIGH,125.0,122.0,125.0,0.0,-2.4,L,L,evaluated
2026-07-06,2026-07-07,scalping,COCO.JK,SCALPING_HIGH,328.0,286.0,358.0,9.15,-12.8,W,L,evaluated
2026-07-06,2026-07-07,scalping,INOV.JK,SCALPING_HIGH,134.0,129.0,135.0,0.75,-3.73,W,L,evaluated
2026-07-06,2026-07-07,scalping,OPMS.JK,SCALPING_HIGH,99.0,99.0,102.0,3.03,0.0,W,L,evaluated
2026-07-06,2026-07-07,scalping,CSMI.JK,SCALPING_HIGH,81.0,79.0,84.0,3.7,-2.47,W,L,evaluated
2026-07-06,2026-07-07,scalping,CASH.JK,SCALPING_HIGH,210.0,191.0,230.0,9.52,-9.05,W,L,evaluated
2026-07-06,2026-07-07,scalping,PPGL.JK,SCALPING_HIGH,212.0,232.0,232.0,9.43,9.43,W,W,evaluated
2026-07-06,2026-07-07,scalping,VICI.JK,SCALPING_HIGH,645.0,625.0,650.0,0.78,-3.1,W,L,evaluated
2026-07-06,2026-07-07,scalping,HOPE.JK,SCALPING_HIGH,133.0,141.0,147.0,10.53,6.02,W,W,evaluated
2026-07-06,2026-07-07,scalping,MGLV.JK,SCALPING_HIGH,8625.0,8700.0,8750.0,1.45,0.87,W,W,evaluated
2026-07-06,2026-07-07,scalping,KUAS.JK,SCALPING_HIGH,93.0,92.0,103.0,10.75,-1.08,W,L,evaluated
2026-07-06,2026-07-07,scalping,WGSH.JK,SCALPING_HIGH,147.0,141.0,148.0,0.68,-4.08,W,L,evaluated
2026-07-06,2026-07-07,scalping,NTBK.JK,SCALPING_HIGH,67.0,90.0,90.0,34.33,34.33,W,W,evaluated
2026-07-06,2026-07-07,scalping,ASHA.JK,SCALPING_HIGH,56.0,55.0,57.0,1.79,-1.79,W,L,evaluated
