signal_date,eval_date,strategy,ticker,signal,prev,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-08-24,2026-08-26,swing,ASGR.JK,BREAKOUT,1915.0,1885.0,1955.0,2.09,-1.57,W,L,evaluated
2026-08-24,2026-08-26,swing,BEST.JK,PRE_MARKUP,126.0,117.0,129.0,2.38,-7.14,W,L,evaluated
2026-08-24,2026-08-26,swing,BJBR.JK,PRE_MARKUP,795.0,785.0,795.0,0.0,-1.26,L,L,evaluated
2026-08-24,2026-08-26,swing,BNGA.JK,PRE_MARKUP,1675.0,1665.0,1675.0,0.0,-0.6,L,L,evaluated
2026-08-24,2026-08-26,swing,CFIN.JK,PRE_MARKUP,356.0,350.0,354.0,-0.56,-1.69,L,L,evaluated
2026-08-24,2026-08-26,swing,DGIK.JK,PRE_MARKUP,137.0,131.0,139.0,1.46,-4.38,W,L,evaluated
2026-08-24,2026-08-26,swing,GJTL.JK,PRE_MARKUP,1375.0,1400.0,1415.0,2.91,1.82,W,W,evaluated
2026-08-24,2026-08-26,swing,JAWA.JK,PRE_MARKUP,143.0,130.0,144.0,0.7,-9.09,W,L,evaluated
2026-08-24,2026-08-26,swing,JTPE.JK,PRE_MARKUP,620.0,610.0,620.0,0.0,-1.61,L,L,evaluated
2026-08-24,2026-08-26,swing,LAPD.JK,PRE_MARKUP,68.0,68.0,73.0,7.35,0.0,W,L,evaluated
2026-08-24,2026-08-26,swing,LPPF.JK,PRE_MARKUP,1620.0,1595.0,1620.0,0.0,-1.54,L,L,evaluated
2026-08-24,2026-08-26,swing,LSIP.JK,PRE_MARKUP,1465.0,1420.0,1460.0,-0.34,-3.07,L,L,evaluated
2026-08-24,2026-08-26,swing,MLBI.JK,PRE_MARKUP,6925.0,6900.0,6900.0,-0.36,-0.36,L,L,evaluated
2026-08-24,2026-08-26,swing,MPMX.JK,PRE_MARKUP,1020.0,1010.0,1020.0,0.0,-0.98,L,L,evaluated
2026-08-24,2026-08-26,swing,PNLF.JK,PRE_MARKUP,230.0,226.0,230.0,0.0,-1.74,L,L,evaluated
2026-08-24,2026-08-26,swing,PSKT.JK,PRE_MARKUP,258.0,220.0,266.0,3.1,-14.73,W,L,evaluated
2026-08-24,2026-08-26,swing,SAFE.JK,BREAKOUT,492.0,615.0,615.0,25.0,25.0,W,W,evaluated
2026-08-24,2026-08-26,swing,SDMU.JK,PRE_MARKUP,88.0,82.0,94.0,6.82,-6.82,W,L,evaluated
2026-08-24,2026-08-26,swing,SMMT.JK,PRE_MARKUP,2070.0,2040.0,2200.0,6.28,-1.45,W,L,evaluated
2026-08-24,2026-08-26,swing,SSIA.JK,PRE_MARKUP,1900.0,1800.0,1905.0,0.26,-5.26,W,L,evaluated
2026-08-24,2026-08-26,swing,TINS.JK,PRE_MARKUP,4130.0,4020.0,4180.0,1.21,-2.66,W,L,evaluated
2026-08-24,2026-08-26,swing,TOTL.JK,PRE_MARKUP,1515.0,1535.0,1570.0,3.63,1.32,W,W,evaluated
2026-08-24,2026-08-26,swing,FIRE.JK,PRE_MARKUP,120.0,108.0,124.0,3.33,-10.0,W,L,evaluated
2026-08-24,2026-08-26,swing,SPTO.JK,PRE_MARKUP,620.0,610.0,625.0,0.81,-1.61,W,L,evaluated
2026-08-24,2026-08-26,swing,PRIM.JK,PRE_MARKUP,120.0,117.0,121.0,0.83,-2.5,W,L,evaluated
2026-08-24,2026-08-26,swing,TUGU.JK,PRE_MARKUP,1380.0,1315.0,1380.0,0.0,-4.71,L,L,evaluated
2026-08-24,2026-08-26,swing,PPGL.JK,PRE_MARKUP,246.0,268.0,270.0,9.76,8.94,W,W,evaluated
2026-08-24,2026-08-26,swing,PURI.JK,PRE_MARKUP,156.0,145.0,161.0,3.21,-7.05,W,L,evaluated
2026-08-24,2026-08-26,swing,PLAN.JK,PRE_MARKUP,42.0,42.0,46.0,9.52,0.0,W,L,evaluated
2026-08-24,2026-08-26,swing,LABA.JK,PRE_MARKUP,100.0,95.0,100.0,0.0,-5.0,L,L,evaluated
2026-08-24,2026-08-26,swing,ASLC.JK,PRE_MARKUP,70.0,65.0,75.0,7.14,-7.14,W,L,evaluated
2026-08-24,2026-08-26,swing,AXIO.JK,PRE_MARKUP,119.0,114.0,120.0,0.84,-4.2,W,L,evaluated
2026-08-24,2026-08-26,swing,MMIX.JK,PRE_MARKUP,780.0,775.0,785.0,0.64,-0.64,W,L,evaluated
2026-08-24,2026-08-26,swing,NAYZ.JK,PRE_MARKUP,70.0,72.0,76.0,8.57,2.86,W,W,evaluated
2026-08-24,2026-08-26,swing,RGAS.JK,BREAKOUT,232.0,268.0,270.0,16.38,15.52,W,W,evaluated
2026-08-24,2026-08-26,swing,AYAM.JK,PRE_MARKUP,478.0,458.0,476.0,-0.42,-4.18,L,L,evaluated
2026-08-24,2026-08-26,swing,MEJA.JK,PRE_MARKUP,118.0,118.0,128.0,8.47,0.0,W,L,evaluated
2026-08-24,2026-08-26,swing,AREA.JK,PRE_MARKUP,338.0,346.0,398.0,17.75,2.37,W,W,evaluated
2026-08-24,2026-08-26,swing,VERN.JK,PRE_MARKUP,240.0,236.0,240.0,0.0,-1.67,L,L,evaluated
2026-08-24,2026-08-26,swing,NAIK.JK,PRE_MARKUP,98.0,91.0,100.0,2.04,-7.14,W,L,evaluated
2026-08-24,2026-08-26,swing,AADI.JK,PRE_MARKUP,10250.0,10000.0,10250.0,0.0,-2.44,L,L,evaluated
2026-08-24,2026-08-26,swing,YUPI.JK,PRE_MARKUP,1440.0,1430.0,1495.0,3.82,-0.69,W,L,evaluated
2026-08-24,2026-08-26,swing,WIFI.JK,PRE_MARKUP,2060.0,1970.0,2090.0,1.46,-4.37,W,L,evaluated
2026-08-24,2026-08-26,swing,ADMF.JK,PRE_MARKUP,8725.0,8700.0,8800.0,0.86,-0.29,W,L,evaluated
