signal_date,eval_date,strategy,ticker,signal,prev,open,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-06-10,2026-06-11,scalping,DSSA.JK,SCALPING_HIGH,790.0,760.0,730.0,780.0,-1.27,-7.59,L,L,evaluated
2026-06-10,2026-06-11,scalping,GPRA.JK,SCALPING_HIGH,110.0,109.0,104.0,110.0,0.0,-5.45,L,L,evaluated
2026-06-10,2026-06-11,scalping,KBLV.JK,SCALPING_HIGH,89.0,95.0,102.0,117.0,31.46,14.61,W,W,evaluated
2026-06-10,2026-06-11,scalping,MDKA.JK,SCALPING_HIGH,2660.0,2600.0,2470.0,2650.0,-0.38,-7.14,L,L,evaluated
2026-06-10,2026-06-11,scalping,RAJA.JK,SCALPING_HIGH,3590.0,3620.0,3600.0,3870.0,7.8,0.28,W,W,evaluated
2026-06-10,2026-06-11,scalping,SMMA.JK,SCALPING_HIGH,21500.0,20500.0,23500.0,24500.0,13.95,9.3,W,W,evaluated
2026-06-10,2026-06-11,scalping,TRST.JK,SCALPING_HIGH,478.0,478.0,480.0,480.0,0.42,0.42,W,W,evaluated
2026-06-10,2026-06-11,scalping,LCKM.JK,SCALPING_HIGH,123.0,125.0,153.0,155.0,26.02,24.39,W,W,evaluated
2026-06-10,2026-06-11,scalping,GHON.JK,SCALPING_HIGH,1915.0,1920.0,1890.0,1955.0,2.09,-1.31,W,L,evaluated
2026-06-10,2026-06-11,scalping,IPCC.JK,SCALPING_HIGH,1200.0,1200.0,1205.0,1210.0,0.83,0.42,W,W,evaluated
2026-06-10,2026-06-11,scalping,INDO.JK,SCALPING_HIGH,165.0,165.0,164.0,167.0,1.21,-0.61,W,L,evaluated
2026-06-10,2026-06-11,scalping,TRIN.JK,SCALPING_HIGH,535.0,550.0,462.0,550.0,2.8,-13.64,W,L,evaluated
2026-06-10,2026-06-11,scalping,SGER.JK,SCALPING_HIGH,350.0,350.0,360.0,360.0,2.86,2.86,W,W,evaluated
2026-06-10,2026-06-11,scalping,VICI.JK,SCALPING_HIGH,595.0,595.0,570.0,610.0,2.52,-4.2,W,L,evaluated
2026-06-10,2026-06-11,scalping,GULA.JK,SCALPING_HIGH,580.0,580.0,555.0,580.0,0.0,-4.31,L,L,evaluated
2026-06-10,2026-06-11,scalping,NAYZ.JK,SCALPING_HIGH,62.0,62.0,57.0,65.0,4.84,-8.06,W,L,evaluated
2026-06-10,2026-06-11,scalping,VAST.JK,SCALPING_HIGH,126.0,125.0,122.0,128.0,1.59,-3.17,W,L,evaluated
2026-06-10,2026-06-11,scalping,RMKO.JK,SCALPING_HIGH,344.0,338.0,320.0,346.0,0.58,-6.98,W,L,evaluated
2026-06-10,2026-06-11,scalping,FOLK.JK,SCALPING_HIGH,214.0,214.0,218.0,224.0,4.67,1.87,W,W,evaluated
2026-06-10,2026-06-11,scalping,RSCH.JK,SCALPING_HIGH,310.0,312.0,318.0,322.0,3.87,2.58,W,W,evaluated
2026-06-10,2026-06-11,scalping,RGAS.JK,SCALPING_HIGH,140.0,140.0,150.0,172.0,22.86,7.14,W,W,evaluated
2026-06-10,2026-06-11,scalping,KSIX.JK,SCALPING_HIGH,350.0,370.0,338.0,370.0,5.71,-3.43,W,L,evaluated
2026-06-10,2026-06-11,scalping,YOII.JK,SCALPING_HIGH,85.0,89.0,86.0,94.0,10.59,1.18,W,W,evaluated
2026-06-10,2026-06-11,scalping,PSAT.JK,SCALPING_HIGH,870.0,900.0,850.0,900.0,3.45,-2.3,W,L,evaluated
2026-06-10,2026-06-11,scalping,RAAM.JK,SCALPING_HIGH,240.0,236.0,214.0,236.0,-1.67,-10.83,L,L,evaluated
2026-06-10,2026-06-11,scalping,SMLE.JK,SCALPING_HIGH,100.0,101.0,91.0,105.0,5.0,-9.0,W,L,evaluated
