signal_date,eval_date,strategy,ticker,signal,prev,close,high,pct_high,pct_close,wl_high,wl_close,status
2026-08-14,2026-08-18,swing,AALI.JK,PRE_MARKUP,7475.0,7700.0,7700.0,3.01,3.01,W,W,evaluated
2026-08-14,2026-08-18,swing,AUTO.JK,PRE_MARKUP,2900.0,2930.0,2940.0,1.38,1.03,W,W,evaluated
2026-08-14,2026-08-18,swing,BRNA.JK,PRE_MARKUP,690.0,670.0,710.0,2.9,-2.9,W,L,evaluated
2026-08-14,2026-08-18,swing,DART.JK,PRE_MARKUP,166.0,166.0,175.0,5.42,0.0,W,L,evaluated
2026-08-14,2026-08-18,swing,DMAS.JK,PRE_MARKUP,149.0,161.0,166.0,11.41,8.05,W,W,evaluated
2026-08-14,2026-08-18,swing,DYAN.JK,PRE_MARKUP,87.0,90.0,92.0,5.75,3.45,W,W,evaluated
2026-08-14,2026-08-18,swing,EXCL.JK,PRE_MARKUP,2800.0,2910.0,2930.0,4.64,3.93,W,W,evaluated
2026-08-14,2026-08-18,swing,GJTL.JK,PRE_MARKUP,1300.0,1320.0,1320.0,1.54,1.54,W,W,evaluated
2026-08-14,2026-08-18,swing,ICON.JK,PRE_MARKUP,134.0,133.0,136.0,1.49,-0.75,W,L,evaluated
2026-08-14,2026-08-18,swing,ISAT.JK,PRE_MARKUP,2540.0,2600.0,2670.0,5.12,2.36,W,W,evaluated
2026-08-14,2026-08-18,swing,MPMX.JK,PRE_MARKUP,1005.0,1000.0,1010.0,0.5,-0.5,W,L,evaluated
2026-08-14,2026-08-18,swing,PNLF.JK,PRE_MARKUP,236.0,238.0,240.0,1.69,0.85,W,W,evaluated
2026-08-14,2026-08-18,swing,SRTG.JK,PRE_MARKUP,1840.0,1865.0,1875.0,1.9,1.36,W,W,evaluated
2026-08-14,2026-08-18,swing,STAR.JK,PRE_MARKUP,464.0,418.0,474.0,2.16,-9.91,W,L,evaluated
2026-08-14,2026-08-18,swing,TINS.JK,PRE_MARKUP,3890.0,3900.0,3960.0,1.8,0.26,W,W,evaluated
2026-08-14,2026-08-18,swing,ULTJ.JK,PRE_MARKUP,1510.0,1505.0,1510.0,0.0,-0.33,L,L,evaluated
2026-08-14,2026-08-18,swing,PBSA.JK,PRE_MARKUP,870.0,885.0,925.0,6.32,1.72,W,W,evaluated
2026-08-14,2026-08-18,swing,MARK.JK,PRE_MARKUP,1075.0,1100.0,1110.0,3.26,2.33,W,W,evaluated
2026-08-14,2026-08-18,swing,GMFI.JK,PRE_MARKUP,59.0,61.0,64.0,8.47,3.39,W,W,evaluated
2026-08-14,2026-08-18,swing,WEGE.JK,PRE_MARKUP,53.0,55.0,55.0,3.77,3.77,W,W,evaluated
2026-08-14,2026-08-18,swing,PRIM.JK,PRE_MARKUP,113.0,115.0,115.0,1.77,1.77,W,W,evaluated
2026-08-14,2026-08-18,swing,PEHA.JK,BREAKOUT,300.0,280.0,310.0,3.33,-6.67,W,L,evaluated
2026-08-14,2026-08-18,swing,TAMA.JK,PRE_MARKUP,260.0,260.0,280.0,7.69,0.0,W,L,evaluated
2026-08-14,2026-08-18,swing,PGUN.JK,PRE_MARKUP,7650.0,9175.0,9175.0,19.93,19.93,W,W,evaluated
2026-08-14,2026-08-18,swing,TRJA.JK,PRE_MARKUP,122.0,122.0,131.0,7.38,0.0,W,L,evaluated
2026-08-14,2026-08-18,swing,MGLV.JK,PRE_MARKUP,9975.0,10400.0,10950.0,9.77,4.26,W,W,evaluated
2026-08-14,2026-08-18,swing,WGSH.JK,PRE_MARKUP,195.0,181.0,208.0,6.67,-7.18,W,L,evaluated
2026-08-14,2026-08-18,swing,ADMR.JK,PRE_MARKUP,1680.0,1675.0,1740.0,3.57,-0.3,W,L,evaluated
2026-08-14,2026-08-18,swing,HATM.JK,PRE_MARKUP,620.0,635.0,650.0,4.84,2.42,W,W,evaluated
2026-08-14,2026-08-18,swing,PACK.JK,PRE_MARKUP,296.0,324.0,324.0,9.46,9.46,W,W,evaluated
2026-08-14,2026-08-18,swing,HALO.JK,PRE_MARKUP,70.0,69.0,71.0,1.43,-1.43,W,L,evaluated
2026-08-14,2026-08-18,swing,VKTR.JK,PRE_MARKUP,885.0,875.0,915.0,3.39,-1.13,W,L,evaluated
2026-08-14,2026-08-18,swing,BABY.JK,PRE_MARKUP,232.0,214.0,230.0,-0.86,-7.76,L,L,evaluated
2026-08-14,2026-08-18,swing,LOPI.JK,PRE_MARKUP,77.0,78.0,80.0,3.9,1.3,W,W,evaluated
2026-08-14,2026-08-18,swing,MEJA.JK,PRE_MARKUP,120.0,127.0,130.0,8.33,5.83,W,W,evaluated
2026-08-14,2026-08-18,swing,BLES.JK,PRE_MARKUP,206.0,202.0,206.0,0.0,-1.94,L,L,evaluated
2026-08-14,2026-08-18,swing,VERN.JK,PRE_MARKUP,232.0,238.0,246.0,6.03,2.59,W,W,evaluated
2026-08-14,2026-08-18,swing,ADMF.JK,PRE_MARKUP,8725.0,8675.0,8725.0,0.0,-0.57,L,L,evaluated
2026-08-14,2026-08-18,swing,ADRO.JK,PRE_MARKUP,2530.0,2570.0,2570.0,1.58,1.58,W,W,evaluated
2026-08-14,2026-08-18,swing,AHAP.JK,PRE_MARKUP,99.0,108.0,110.0,11.11,9.09,W,W,evaluated
