signal_date,eval_date,strategy,ticker,signal,prev,close,high,pct_high,pct_close,wl,status
2026-08-21,2026-08-24,scalping,ALDO.JK,SCALPING_HIGH,930.0,925.0,930.0,0.0,-0.54,L,evaluated
2026-08-21,2026-08-24,scalping,APLN.JK,SCALPING_HIGH,143.0,141.0,147.0,2.8,-1.4,L,evaluated
2026-08-21,2026-08-24,scalping,ASSA.JK,SCALPING_HIGH,640.0,625.0,640.0,0.0,-2.34,L,evaluated
2026-08-21,2026-08-24,scalping,BBLD.JK,SCALPING_HIGH,680.0,675.0,725.0,6.62,-0.74,L,evaluated
2026-08-21,2026-08-24,scalping,BBNI.JK,SCALPING_HIGH,3730.0,3680.0,3740.0,0.27,-1.34,L,evaluated
2026-08-21,2026-08-24,scalping,BEST.JK,SCALPING_HIGH,123.0,126.0,131.0,6.5,2.44,W,evaluated
2026-08-21,2026-08-24,scalping,BIPP.JK,SCALPING_HIGH,70.0,70.0,73.0,4.29,0.0,L,evaluated
2026-08-21,2026-08-24,scalping,BPII.JK,SCALPING_HIGH,505.0,498.0,510.0,0.99,-1.39,L,evaluated
2026-08-21,2026-08-24,scalping,BRMS.JK,SCALPING_HIGH,695.0,730.0,745.0,7.19,5.04,W,evaluated
2026-08-21,2026-08-24,scalping,BSDE.JK,SCALPING_HIGH,635.0,635.0,645.0,1.57,0.0,L,evaluated
2026-08-21,2026-08-24,scalping,BUMI.JK,SCALPING_HIGH,196.0,194.0,202.0,3.06,-1.02,L,evaluated
2026-08-21,2026-08-24,scalping,BWPT.JK,SCALPING_HIGH,111.0,107.0,112.0,0.9,-3.6,L,evaluated
2026-08-21,2026-08-24,scalping,BYAN.JK,SCALPING_HIGH,15600.0,15100.0,15600.0,0.0,-3.21,L,evaluated
2026-08-21,2026-08-24,scalping,DGIK.JK,SCALPING_HIGH,135.0,137.0,145.0,7.41,1.48,W,evaluated
2026-08-21,2026-08-24,scalping,DMAS.JK,SCALPING_HIGH,167.0,177.0,183.0,9.58,5.99,W,evaluated
2026-08-21,2026-08-24,scalping,DOID.JK,SCALPING_HIGH,230.0,238.0,240.0,4.35,3.48,W,evaluated
2026-08-21,2026-08-24,scalping,DSNG.JK,SCALPING_HIGH,1440.0,1460.0,1475.0,2.43,1.39,W,evaluated
2026-08-21,2026-08-24,scalping,EMTK.JK,SCALPING_HIGH,540.0,525.0,545.0,0.93,-2.78,L,evaluated
2026-08-21,2026-08-24,scalping,FAST.JK,SCALPING_HIGH,472.0,462.0,492.0,4.24,-2.12,L,evaluated
2026-08-21,2026-08-24,scalping,GZCO.JK,SCALPING_HIGH,183.0,180.0,186.0,1.64,-1.64,L,evaluated
2026-08-21,2026-08-24,scalping,HRUM.JK,SCALPING_HIGH,920.0,930.0,955.0,3.8,1.09,W,evaluated
2026-08-21,2026-08-24,scalping,IMAS.JK,SCALPING_HIGH,895.0,885.0,900.0,0.56,-1.12,L,evaluated
2026-08-21,2026-08-24,scalping,ITMA.JK,SCALPING_HIGH,1500.0,1475.0,1515.0,1.0,-1.67,L,evaluated
2026-08-21,2026-08-24,scalping,MEDC.JK,SCALPING_HIGH,1390.0,1400.0,1415.0,1.8,0.72,W,evaluated
2026-08-21,2026-08-24,scalping,MIDI.JK,SCALPING_HIGH,284.0,278.0,286.0,0.7,-2.11,L,evaluated
2026-08-21,2026-08-24,scalping,NRCA.JK,SCALPING_HIGH,575.0,590.0,610.0,6.09,2.61,W,evaluated
2026-08-21,2026-08-24,scalping,OKAS.JK,SCALPING_HIGH,125.0,125.0,129.0,3.2,0.0,L,evaluated
2026-08-21,2026-08-24,scalping,PEGE.JK,SCALPING_HIGH,117.0,116.0,119.0,1.71,-0.85,L,evaluated
2026-08-21,2026-08-24,scalping,PYFA.JK,SCALPING_HIGH,236.0,232.0,242.0,2.54,-1.69,L,evaluated
2026-08-21,2026-08-24,scalping,SDMU.JK,SCALPING_HIGH,96.0,88.0,96.0,0.0,-8.33,L,evaluated
2026-08-21,2026-08-24,scalping,SRAJ.JK,SCALPING_HIGH,14100.0,13350.0,14100.0,0.0,-5.32,L,evaluated
2026-08-21,2026-08-24,scalping,STAR.JK,SCALPING_HIGH,418.0,420.0,468.0,11.96,0.48,W,evaluated
2026-08-21,2026-08-24,scalping,TFCO.JK,SCALPING_HIGH,960.0,880.0,960.0,0.0,-8.33,L,evaluated
2026-08-21,2026-08-24,scalping,TINS.JK,SCALPING_HIGH,4030.0,4130.0,4220.0,4.71,2.48,W,evaluated
2026-08-21,2026-08-24,scalping,TOBA.JK,SCALPING_HIGH,570.0,565.0,575.0,0.88,-0.88,L,evaluated
