date,ticker,ma20,ma50,ma200,ma_full_alignment,ma_partial_alignment,slope_ma20,golden_cross,price_vs_ma200,rsi14,macd,macd_signal,macd_histogram,roc5,roc20,high_52w,pct_from_52w_high,atr14,atr_breakout,vol_ratio_20d,vol_spike,obv_trend,atr_pct,bb_width,hist_vol_20d,supertrend_bullish,stoch_rsi_k,stoch_rsi_d,adx,adx_pos,adx_neg,squeeze_on,vwap_20d,price_vs_vwap,close,volume,trend_score,momentum_score,breakout_score,volume_score,penalty_score,news_score,foreign_score,total_score,enhanced_total_score,signal,entry_low,entry_high,tp_low,tp_high,cutloss,trade_setup_status
2026-05-19,MAPI.JK,1361.0,1266.6,1237.125,True,True,49.25,False,19.632211781347884,64.01638263734371,62.76817437451382,48.746043734546674,14.022130639967145,-1.0033444816053505,17.928286852589647,1520.0,-2.631578947368421,48.18081852483636,False,2.534009556595863,True,True,3.255460711137592,30.003158933358677,65.23222116196163,True,86.83459653156305,86.44913667120436,28.60036995850893,38.47549333745712,13.855150923684514,False,1421.8770157566553,4.087764525289442,1480.0,96220600,10.0,9.0,5.0,10.0,0.0,5.0,5.0,7.5,7.5,PRE_MARKUP,1435,1480,1615,1700,1360,active
2026-05-19,POWR.JK,748.0,737.7,702.0583337402344,True,True,8.25,False,8.253112807746309,58.18340611955623,9.745544002234055,7.58246380127683,2.163080200957225,-0.6535947712418277,2.7027027027026973,790.0,-3.79746835443038,14.644132094646421,False,1.3381486840266104,False,True,1.9268594861376869,7.628525464007267,13.934469553554901,True,77.39195597572386,92.46398532524131,32.338825548479605,17.59010994982332,3.717761346174546,False,753.7712733605582,0.8263417378155171,760.0,5313300,10.0,9.0,5.0,8.0,0.0,5.0,5.0,7.2,7.2,PRE_MARKUP,750,760,780,795,740,active
2026-05-19,BTPN.JK,2113.643347167969,2044.3653515625,2088.999974975586,False,True,65.38622436523428,False,7.228340202645457,59.722233958696975,66.23273975026905,42.81067432482268,23.42206542544637,4.1860465116279055,14.53611794909213,2518.0451165421946,-11.042102252878177,122.86021804924744,False,2.244397186324227,False,True,5.484831162912832,22.853368822561684,59.71512026298764,True,89.91563264387695,93.78366801566554,29.99106608927969,34.0283359849299,9.531555640987326,False,2178.110388024436,2.8414359674258054,2240.0,548800,10.0,10.0,2.0,10.0,0.0,5.0,5.0,7.0,7.0,PRE_MARKUP,2170,2240,2440,2580,2060,active
2026-05-19,CINT.JK,205.6,202.5,186.705,True,True,-4.900000000000006,False,7.120859109290049,48.70669703816239,-4.385988769833659,-2.763356493550287,-1.6226322762833725,4.166666666666674,-6.542056074766355,298.0,-32.88590604026846,9.895086540841046,True,10.026020732771265,True,True,4.947543270420523,25.849874689028805,51.16687163886257,False,26.333879948265192,14.118219180118263,18.520600646690244,31.608312592494254,23.719661529346112,False,209.42694066536373,-4.501302762392314,200.0,13158300,10.0,7.0,5.0,10.0,0.0,5.0,5.0,7.0,7.0,PRE_MARKUP,194,200,216,226,184,active
2026-05-19,GGRP.JK,298.5,296.68,265.35,True,True,3.5,False,22.856604484642915,73.74615564933856,4.131157020114188,1.5692993562332855,2.561857663880902,9.395973154362425,10.135135135135132,372.0,-12.365591397849462,11.64187275879652,True,5.980789270593981,True,True,3.571126613127767,10.915311132828245,28.76825983953179,True,97.58539802131011,95.17079604262021,44.16334115619213,46.5780400305467,4.609493503988489,False,308.25064057565334,5.758093281233742,326.0,6858500,10.0,5.0,7.0,10.0,0.0,5.0,5.0,7.0,7.0,PRE_MARKUP,316,326,356,374,298,active
2026-05-19,RELI.JK,502.3,500.12,584.465,False,True,5.0,False,2.6579863635974723,77.44856788303417,7.0485127953893425,0.9009066560954614,6.147606139293881,19.999999999999996,20.481927710843383,1100.0,-45.45454545454545,20.03594284310436,True,17.877289377289376,True,True,3.3393238071840594,18.326304637808953,81.60364181258622,True,50.778819268964895,46.00208298237418,25.29865380942751,47.79010910174738,13.762550493486636,False,553.9941697191697,8.304388889895998,600.0,976100,10.0,6.0,5.0,10.0,0.0,5.0,5.0,6.75,6.75,PRE_MARKUP,580,600,655,690,550,active
2026-05-19,PRDA.JK,2468.0446166992188,2388.4876171875,2393.799489746094,False,True,59.63779296875009,False,8.61394244326526,63.81657390439618,67.45185943293382,52.81227145825566,14.639587974678157,1.1673151750972721,10.499668177265974,2900.0,-10.344827586206897,97.53797762990743,False,1.9287332043197176,False,True,3.751460678073363,15.932363551849734,29.2857354325358,True,69.86661460447927,69.90060023062092,48.77692740959123,53.216083292903974,6.9973381876331535,False,2574.2931528796557,0.9985982789717663,2600.0,1579700,10.0,10.0,2.0,8.0,0.0,5.0,5.0,6.7,6.7,PRE_MARKUP,2520,2600,2780,2910,2410,active
2026-05-19,NEST.JK,476.15,393.06,351.105,True,True,50.0,False,46.679768160521775,58.56955391077555,48.9313737669429,45.013074815862716,3.918298951080182,3.0000000000000027,31.377551020408156,605.0,-14.87603305785124,38.50398944984594,False,1.319445664819117,False,True,7.476502805795328,57.98031106773778,125.42011018549356,True,35.82754239736728,60.957028888657284,39.44522918908914,28.36786032085013,20.676586863656173,False,509.1164955017966,1.155630302727573,515.0,7508200,10.0,10.0,2.0,8.0,0.0,5.0,5.0,6.7,6.7,PRE_MARKUP,500,515,560,590,470,active
2026-05-19,GSMF.JK,121.65,109.12,102.185,True,True,8.25,False,29.17747223173655,55.09696845302645,9.470678208001573,7.7519292894279355,1.7187489185736373,0.7633587786259444,28.155339805825253,167.0,-20.958083832335326,13.16752849215629,False,2.855341614316754,True,True,9.975400372845675,56.76439950471157,109.18810985961234,True,70.11673768906451,76.84442105982306,47.89913434904758,38.734570208426014,7.242489585643563,False,133.50206271516063,-1.1251232262721118,132.0,246454300,10.0,10.0,0.0,10.0,0.0,5.0,5.0,6.5,6.5,PRE_MARKUP,128,132,144,152,121,active
2026-05-19,KONI.JK,2688.5,2112.0,2130.575,False,True,183.5,False,46.9086983560776,58.40108403439379,300.46264785388394,277.43315776361374,23.0294900902702,9.059233449477343,41.62895927601811,3910.0,-19.948849104859335,418.43430458390594,False,2.1111541094870954,False,True,13.368508133671117,66.0234016923088,188.79364643333378,True,42.80144896886307,63.958162971487184,29.649099000364068,26.04161894110735,24.503215651660664,False,2837.5811925103444,10.305213759573844,3130.0,354600,10.0,10.0,0.0,10.0,0.0,5.0,5.0,6.5,6.5,PRE_MARKUP,3040,3130,3410,3600,2870,active
2026-05-19,PBID.JK,534.5,516.36,494.64,True,True,9.0,False,12.202814167879673,70.47438642289454,11.493392486873745,10.171229276356591,1.3221632105171537,0.9090909090909038,6.730769230769229,560.0,-0.8928571428571428,12.408733257028958,False,2.4007524700139147,False,True,2.2358077940592715,12.460861220085683,21.034189224077746,True,77.31564637178184,87.62840441177016,39.666807376477486,22.655977503501155,10.702448621955714,False,538.4032641582605,3.0825845507617426,555.0,4632600,10.0,5.0,5.0,10.0,0.0,5.0,5.0,6.5,6.5,PRE_MARKUP,540,555,575,585,525,active
2026-05-19,SMKL.JK,165.2,164.64,168.81,False,True,0.5999999999999943,False,-0.4798293939932482,52.49644434027474,1.0648493412256528,-0.05134727942031164,1.1161966206459644,1.8181818181818077,1.8181818181818077,240.0,-30.0,11.94737610175807,False,2.9413197873795234,True,True,7.111533393903613,12.618706267097505,58.16312900997802,True,66.32848435731299,60.329530606992186,30.854949017687336,36.82146216475443,4.994294468501794,True,180.03446219192588,-6.684532530830978,168.0,5613700,10.0,10.0,0.0,10.0,0.0,5.0,5.0,6.5,6.5,PRE_MARKUP,166,168,180,188,159,active
2026-05-19,BSML.JK,413.0,373.2,237.18,True,True,7.399999999999977,False,79.61042246395142,69.50615285114996,13.153728520891264,14.471545438915548,-1.3178169180242847,0.9478672985782088,4.92610837438423,434.0,-1.8433179723502304,13.087453032095356,False,0.9679108940686197,False,True,3.0721720732618207,6.807276858431538,25.822278742892067,True,64.88517633374974,43.12496370184554,33.57575672451525,33.72678208196438,17.90326369704267,False,411.7473336321477,3.461507872346191,426.0,15245700,10.0,8.0,5.0,5.0,0.0,5.0,5.0,6.5,6.5,PRE_MARKUP,416,426,442,452,406,active
2026-05-19,NTBK.JK,91.35,80.46,94.02,False,True,3.6499999999999915,False,10.614762816422042,69.56267561684142,5.1283285285111475,4.280761023330977,0.8475675051801703,7.216494845360821,23.809523809523814,208.0,-50.0,9.007802579635223,False,2.5882232204309275,True,True,8.661348634264638,24.857917835202695,68.33700107479794,True,91.20009633651023,82.40019267302043,46.974694139774314,40.01185709936101,6.858466653007134,False,94.76266622299268,9.747861837561961,104.0,298603300,10.0,10.0,0.0,10.0,0.0,5.0,5.0,6.5,6.5,PRE_MARKUP,101,104,113,120,95,active
